long,lat,n_cruce,id_codigo,fecha_inau,anio_inau,dom_orig,dom_norma,origen,observ,nro_nva,instala,horario,fecha_fina,id_usig,objeto,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.41457199941521,-34.627765000383604,5658.0,B-CR-05658,,,Constitución y Maza,,Coordenada,Constitucion - Maza,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,93,CRUCE SEMAFORIZADO,CONSTITUCION,,Boedo,Comuna 5,,
-58.436586698616196,-34.6368715004981,5660.0,B-CR-05660,,,Castañares Av. y Cachimayo,,Coordenada,Castañares - Cachimayo,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,94,CRUCE SEMAFORIZADO,CASTA\u00d1ARES AV.,,Parque Chacabuco,Comuna 7,,
-58.4107658994602,-34.6215476010337,5728.0,B-CR-05728,,,24 de Noviembre y Estados Unidos,,Coordenada,24 de Noviembre - Estados Unidos,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,95,CRUCE SEMAFORIZADO,24 DE NOVIEMBRE,,San Cristobal,Comuna 3,,
-58.420517198937205,-34.6200568007012,5738.0,B-CR-05738,,,Castro y México,,Coordenada,Castro - México,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,96,CRUCE SEMAFORIZADO,CASTRO,,Almagro,Comuna 5,,
-58.424163598403396,-34.6203375003517,5739.0,B-CR-05739,,,México y 33 Orientales,,Coordenada,México-33 Orientales,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,97,CRUCE SEMAFORIZADO,MEXICO,,Almagro,Comuna 5,,
-58.42053319867579,-34.6188364006287,5832.0,B-CR-05832,,,Castro y Agrelo,,Coordenada,Agrelo - Castro,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,98,CRUCE SEMAFORIZADO,CASTRO,,Almagro,Comuna 5,,
-58.4145253994427,-34.6142747010733,5834.0,B-CR-05834,,,Moreno M. y Virrey Liniers,,Coordenada,Moreno-Virrey Liniers,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,99,CRUCE SEMAFORIZADO,MORENO,,Almagro,Comuna 5,,
-58.4224578991962,-34.6189803003791,5842.0,B-CR-05842,,,Bocayuva Quintino y Agrelo,,Coordenada,Agrelo - Q. Bocayuva,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,100,CRUCE SEMAFORIZADO,"BOCAYUVA, QUINTINO",,Almagro,Comuna 5,,
-58.415351798536996,-34.618363600812,5846.0,B-CR-05846,,,Maza y Agrelo,,Coordenada,Agrelo - Maza,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,101,CRUCE SEMAFORIZADO,MAZA,,Almagro,Comuna 5,,
-58.4255861988635,-34.6121247011587,5934.0,B-CR-05934,,,Lezica y Rawson,,Coordenada,Lezica - Rawson,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,102,CRUCE SEMAFORIZADO,LEZICA,,Almagro,Comuna 5,,
-58.4259740984038,-34.6148773008923,5936.0,B-CR-05936,,,Yrigoyen Hipólito y Marmol José,,Coordenada,Hipólito Yrigoyen-José Mármol,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,103,CRUCE SEMAFORIZADO,"YRIGOYEN, HIPOLITO AV.",,Almagro,Comuna 5,,
-58.432107798846204,-34.6149724004596,5945.0,B-CR-05945,,,Yerbal y Otamendi,,Coordenada,Yerbal-Otamendi,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,104,CRUCE SEMAFORIZADO,YERBAL,,Caballito,Comuna 6,,
-58.4145736988676,-34.6093632008666,5998.0,B-CR-05998,,,Mitre Bartolomé y Sánchez de Bustamante,,Coordenada,Mitre Bartolome - Sanchez de Bustamante,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,105,CRUCE SEMAFORIZADO,"MITRE, BARTOLOME",,Balvanera,Comuna 3,,
-58.46224479883411,-34.6300808010084,6737.0,B-CR-06737,,,R.L.Falcon  y  Rivera Indate.,,Coordenada,Falcon - Indarte,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,106,CRUCE SEMAFORIZADO,,,Flores,Comuna 7,,
-58.40343849906,-34.64803910107889,8755.0,B-CR-08755,Febrero,2017.0,"Alcorta, Amancio Av.  y  Monteagudo","ALCORTA, AMANCIO AV. y MONTEAGUDO",Coordenada /Domicilio,A.Alcorta - Monteagudo,4.0,TITILANTE NOCTURNO,Todos los días de 18:00 a 07:00hs.,,107,CRUCE SEMAFORIZADO,"ALCORTA, AMANCIO AV.",,Barracas,Comuna 4,,
-58.446131598944994,-34.6444545009211,8828.0,B-CR-08828,,,Av. Castañares y Bonorino Esteban,,Coordenada,Av. Castañares-Bonorino Esteban,4.0,TITILANTE NOCTURNO,Todos los días de 21:00 a 07:00hs.,,108,CRUCE SEMAFORIZADO,CASTA\u00d1ARES AV.,,Flores,Comuna 7,,
-58.445609799001204,-34.6438418009664,8829.0,B-CR-08829,,,Av. Castañares 2237,,Coordenada,Av. Castañares-Salida Terminal Línea 26 (demanda Linea),4.0,TITILANTE CON DEMANDA,Titilante 24hs.,,109,CRUCE SEMAFORIZADO,CASTA\u00d1ARES AV.,2237,Flores,Comuna 7,,
-58.4749691988245,-34.645214801114,9420.0,B-CR-09420,,,Av. Lacarra y Bilbao Francisco,,Coordenada,Av. Lacarra- Bilbao Francisco,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 07:00hs.,,110,CRUCE SEMAFORIZADO,LACARRA AV.,,Parque Avellaneda,Comuna 9,,
-58.4702331989153,-34.6889014007761,9467.0,B-CR-09467,,,Corrales y Cañada de Gómez,,Coordenada,Corrales-Cañada de Gómez,4.0,TITILANTE NOCTURNO,Todos los días de 22:00 a 06:00hs.,,111,CRUCE SEMAFORIZADO,CORRALES,,Villa Riachuelo,Comuna 8,,
-58.461519998510504,-34.6428400012052,9547.0,B-CR-09547,,,Av. Lafuente y Rotonda Plaza de los Virreyes,,Coordenada,Av. Lafuente-Rotonda Plaza de los Virreyes (demanda Premetro),4.0,TITILANTE CON DEMANDA,Titilante 24hs.,,112,CRUCE SEMAFORIZADO,,,Flores,Comuna 7,,
-58.4956799990593,-34.6659300009652,9594.0,B-CR-09594,,,Av. De la Torre Lisandro y Cuartel de Bomberos,,Coordenada,Av. De la Torre Lisandro-Cuartel de Bomberos (demanda bombero),4.0,TITILANTE CON DEMANDA,Titilante 24hs.,,113,CRUCE SEMAFORIZADO,,,Mataderos,Comuna 9,,
-58.493609298421795,-34.6679310010937,9595.0,B-CR-09595,,,Av. Perón Eva y Lisandro de la Torre Av.,,Coordenada,Av. Perón Eva-Lisandro de la Torre Av.,4.0,TITILANTE NOCTURNO,Todos los días de 21:00 a 06:00hs.,,114,CRUCE SEMAFORIZADO,"PERON, EVA AV.",,Mataderos,Comuna 9,,
-58.4957416993213,-34.6700437003698,9596.0,B-CR-09596,,,Av. Perón Eva y Piedrabuena Av. ,,Coordenada,Av. Perón Eva-Piedrabuena Av.,4.0,TITILANTE NOCTURNO,Todos los días de 21:00 a 07:00hs.,,115,CRUCE SEMAFORIZADO,"PERON, EVA AV.",,Mataderos,Comuna 9,,
-58.4967098993195,-34.6736640010101,9600.0,B-CR-09600,,,Av. Argentina 6784,,Coordenada,Av. Argentina -Fte. Pirelli (demanda Peatonal) 6800,4.0,TITILANTE CON DEMANDA,Titilante 24hs.,,116,CRUCE SEMAFORIZADO,ARGENTINA AV.,6784,Villa Lugano,Comuna 8,1439,C1439HRU
-58.45699399896339,-34.6539149008839,9658.0,B-CR-09658,,,Av. Acosta Mariano y Castañares Av.,,Coordenada,Av. Acosta Mariano-Castañares Av.(Premetro),4.0,TITILANTE NOCTURNO,Todos los días de 21:00 a 07:00hs.,,117,CRUCE SEMAFORIZADO,"ACOSTA, MARIANO",,Flores,Comuna 7,,
