Id_Hecho,Sexo,Edad
LC-2019-0014503,MASCULINO,62
LC-2019-0014580,MASCULINO,18
LC-2019-0014644,MASCULINO,29
LC-2019-0014644,MASCULINO,29
LC-2019-0014787,FEMENINO,30
LC-2019-0014790,MASCULINO,30
LC-2019-0014956,MASCULINO,32
LC-2019-0015085,MASCULINO,41
LC-2019-0015193,MASCULINO,64
LC-2019-0015241,FEMENINO,64
LC-2019-0015361,MASCULINO,33
LC-2019-0015585,MASCULINO,31
LC-2019-0015614,FEMENINO,31
LC-2019-0006068,MASCULINO,20
LC-2019-0015700,MASCULINO,34
LC-2019-0015822,MASCULINO,5
LC-2019-0016012,FEMENINO,17
LC-2019-0016105,MASCULINO,40
LC-2019-0016278,MASCULINO,40
LC-2019-0016581,MASCULINO,58
LC-2019-0016613,MASCULINO,42
LC-2019-0017068,MASCULINO,58
LC-2019-0017068,FEMENINO,58
LC-2019-0017068,FEMENINO,43
LC-2019-0017068,FEMENINO,24
LC-2019-0017182,MASCULINO,33
LC-2019-0017186,MASCULINO,24
LC-2019-0017460,MASCULINO,35
LC-2019-0017514,MASCULINO,70
LC-2019-0017514,MASCULINO,70
LC-2019-0017561,MASCULINO,38
LC-2019-0018006,MASCULINO,24
LC-2019-0018207,FEMENINO,33
LC-2019-0018425,MASCULINO,38
LC-2019-0018474,MASCULINO,58
LC-2019-0018500,MASCULINO,34
LC-2019-0018518,MASCULINO,41
LC-2019-0018751,MASCULINO,43
LC-2019-0021352,MASCULINO,18
LC-2019-0022439,MASCULINO,40
LC-2019-0030754,MASCULINO,31
LC-2019-0031883,FEMENINO,55
LC-2019-0018873,MASCULINO,49
LC-2019-0019243,MASCULINO,29
LC-2019-0020257,FEMENINO,42
LC-2019-0020260,MASCULINO,26
LC-2019-0020451,MASCULINO,54
LC-2019-0020496,FEMENINO,62
LC-2019-0020569,MASCULINO,24
LC-2019-0020951,MASCULINO,12
LC-2019-0020989,MASCULINO,33
LC-2019-0021079,MASCULINO,34
LC-2019-0021335,MASCULINO,39
LC-2019-0021415,MASCULINO,31
LC-2019-0093543,MASCULINO,36
LC-2019-0021365,MASCULINO,42
LC-2019-0021365,MASCULINO,42
LC-2019-0021365,FEMENINO,28
LC-2019-0021434,MASCULINO,24
LC-2019-0021709,MASCULINO,60
LC-2019-0022105,MASCULINO,41
LC-2019-0022174,MASCULINO,44
LC-2019-0022273,MASCULINO,41
LC-2019-0022275,FEMENINO,54
LC-2019-0022298,FEMENINO,67
