Id_Hecho,Sexo,Edad
2017-0108,MASCULINO,17
2017-0109,MASCULINO,21
2017-0110,MASCULINO,56
2017-0111,FEMENINO,79
2017-0112,MASCULINO,1
2017-0113,FEMENINO,76
2017-0114,MASCULINO,26
2017-0115,MASCULINO,34
2017-0116,MASCULINO,22
2017-0118,FEMENINO,26
2017-0120,MASCULINO,20
2017-0123,FEMENINO,36
2017-0124,MASCULINO,51
2017-0125,MASCULINO,29
2017-0126,MASCULINO,39
2017-0127,MASCULINO,24
2017-0128,FEMENINO,60
2017-0129,MASCULINO,57
2017-0130,MASCULINO,23
2017-0132,MASCULINO,23
2017-0134,FEMENINO,47
2017-0135,MASCULINO,24
2017-0136,MASCULINO,55
2017-0137,FEMENINO,60
2017-0138,MASCULINO,25
2017-0139,FEMENINO,15
2017-0140,MASCULINO,24
2017-0141,FEMENINO,22
2017-0143,MASCULINO,50
2017-0144,FEMENINO,50
2017-0145,MASCULINO,58
2017-0147,MASCULINO,49
2017-0148,FEMENINO,82
2017-0149,MASCULINO,13
2017-0150,MASCULINO,56
2017-0152,MASCULINO,19
2017-0153,MASCULINO,30
2017-0154,MASCULINO,76
2017-0155,MASCULINO,77
2017-0157,MASCULINO,53
2017-0158,MASCULINO,32
2017-0159,MASCULINO,27
2017-0160,FEMENINO,30
2017-0161,FEMENINO,30
2018-0001,MASCULINO,83
2018-0002,FEMENINO,26
2018-0003,FEMENINO,58
2018-0004,MASCULINO,39
2018-0005,MASCULINO,54
2018-0006,FEMENINO,45
2018-0007,MASCULINO,46
2018-0008,FEMENINO,32
2018-0009,MASCULINO,19
2018-0010,MASCULINO,40
2018-0011,MASCULINO,84
2018-0012,MASCULINO,20
2018-0013,MASCULINO,44
2018-0015,MASCULINO,28
2018-0016,MASCULINO,31
2018-0017,MASCULINO,35
2018-0018,MASCULINO,26
2018-0019,FEMENINO,80
2018-0020,MASCULINO,26
2018-0021,FEMENINO,62
2018-0022,MASCULINO,28
2018-0023,MASCULINO,28
2018-0024,MASCULINO,70
2018-0025,MASCULINO,70
2018-0026,MASCULINO,24
2018-0027,FEMENINO,74
2018-0028,MASCULINO,71
2018-0029,MASCULINO,26
2018-0030,MASCULINO,24
2018-0031,MASCULINO,31
2018-0032,MASCULINO,70
2018-0033,FEMENINO,42
2018-0034,MASCULINO,24
2018-0035,FEMENINO,39
2018-0036,MASCULINO,37
2018-0037,MASCULINO,84
2018-0038,FEMENINO,59
2018-0039,MASCULINO,37
2018-0041,FEMENINO,78
2018-0042,MASCULINO,23
2018-0043,MASCULINO,25
2018-0044,FEMENINO,50
2018-0045,MASCULINO,60
2018-0046,MASCULINO,11
2018-0047,MASCULINO,82
2018-0048,MASCULINO,57
2018-0049,FEMENINO,40
2018-0050,FEMENINO,47
2018-0051,FEMENINO,57
2018-0052,MASCULINO,78
2018-0053,MASCULINO,43
2018-0054,FEMENINO,86
2018-0055,MASCULINO,21
2018-0056,FEMENINO,69
2018-0057,MASCULINO,33
2018-0058,MASCULINO,26
2018-0059,MASCULINO,54
2018-0060,MASCULINO,51
2018-0061,MASCULINO,51
2018-0062,MASCULINO,32
2018-0063,FEMENINO,28
2018-0064,MASCULINO,30
2018-0065,MASCULINO,35
2018-0066,MASCULINO,73
2018-0067,FEMENINO,81
2018-0068,MASCULINO,21
2018-0069,MASCULINO,20
2018-0070,MASCULINO,33
2018-0072,MASCULINO,27
2018-0073,FEMENINO,67
2018-0074,MASCULINO,25
2018-0075,MASCULINO,23
2018-0076,MASCULINO,73
2018-0077,MASCULINO,58
2018-0078,MASCULINO,27
2018-0080,MASCULINO,26
2018-0081,MASCULINO,35
2018-0082,FEMENINO,17
2018-0084,MASCULINO,45
2018-0085,FEMENINO,22
2018-0086,MASCULINO,40
2018-0087,MASCULINO,75
2018-0089,MASCULINO,80
2018-0090,MASCULINO,27
2018-0091,FEMENINO,23
2018-0092,MASCULINO,23
2018-0093,MASCULINO,24
2018-0094,MASCULINO,32
2018-0095,FEMENINO,49
2018-0096,MASCULINO,39
2018-0097,FEMENINO,35
2018-0098,MASCULINO,55
2018-0099,MASCULINO,18
2018-0100,FEMENINO,33
2018-0102,MASCULINO,20
2018-0103,MASCULINO,1
2018-0104,MASCULINO,22
2018-0105,FEMENINO,56
2018-0106,MASCULINO,27
