Id,N_Victimas,Fecha,Franja_Hora,Tipo_Calle,Calle,Cruce,Comuna,Longitud,Latitud,Participantes,Victima,Acusado
2017-0060,1,2017-05-13,7,AVENIDA,ESCALADA AV.,True,8,-58.45966521,-34.67323292,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0061,1,2017-05-15,13,AVENIDA,PARAGUAY,True,2,-58.39303911,-34.59871111,PEATON-MOTO,PEATON,MOTO
2017-0062,1,2017-05-15,16,AVENIDA,"JUSTO, JUAN B. AV.",True,10,-58.51262106,-34.63395999,MOTO-CARGAS,MOTO,CARGAS
2017-0063,1,2017-05-17,10,AVENIDA,CHILE,True,1,-58.38118367,-34.61646839,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0064,1,2017-05-20,5,CALLE,MAIPU,True,1,-58.37653284,-34.60582475,CARGAS-AUTO,CARGAS,AUTO
2017-0065,1,2017-05-22,16,AVENIDA,SUAREZ AV.,True,4,-58.37709334,-34.64035082,BICICLETA-CARGAS,BICICLETA,CARGAS
2017-0066,1,2017-05-22,18,AVENIDA,SAN MARTIN AV.,True,15,-58.46002142,-34.60409469,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0067,1,2017-05-23,2,AVENIDA,DIRECTORIO AV.,True,6,-58.4338197,-34.62801894,MOTO-CARGAS,MOTO,CARGAS
2017-0068,1,2017-05-27,19,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",False,8,-58.43580656,-34.66437532,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0070,1,2017-05-30,13,CALLE,NUEVA YORK,False,11,-58.50791763,-34.59804273,PEATON-AUTO,PEATON,AUTO
2017-0072,1,2017-06-03,23,AVENIDA,DE LOS CONSTITUYENTES AV.,True,12,-58.49175088,-34.58226957,AUTO-AUTO,AUTO,AUTO
2017-0073,1,2017-06-04,9,AVENIDA,CORRIENTES AV.,True,3,-58.40781467,-34.60425669,MOTO-AUTO,MOTO,AUTO
2017-0075,1,2017-06-12,22,AVENIDA,DE MAYO AV.,True,1,-58.381542,-34.60906385,PEATON-MOTO,PEATON,MOTO
2017-0076,1,2017-06-13,14,AVENIDA,"CASTILLO, RAMON S., PRES. AV.",True,2,-58.38526125,-34.5780581,PEATON-CARGAS,PEATON,CARGAS
2017-0077,1,2017-06-17,23,CALLE,FRAY JUSTO SANTAMARIA DE ORO,False,14,-58.42934104,-34.58451712,MOTO-CARGAS,MOTO,CARGAS
2017-0079,1,2017-06-19,16,CALLE,MEXICO,True,3,-58.40657493,-34.61781124,MOTO-CARGAS,MOTO,CARGAS
2017-0080,1,2017-06-22,10,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,9,-58.49525314,-34.64487785,PEATON-CARGAS,PEATON,CARGAS
2017-0082,1,2017-06-25,22,AVENIDA,ENTRE RIOS AV.,True,4,-58.39092851,-34.62932696,PEATON-AUTO,PEATON,AUTO
2017-0083,1,2017-07-04,0,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,9,-58.49603546,-34.64564271,MOTO-CARGAS,MOTO,CARGAS
2017-0084,1,2017-07-05,12,AVENIDA,DEL LIBERTADOR AV.,True,2,-58.38502878,-34.58703485,PEATON-PASAJEROS,PEATON,PASAJEROS
