Id,N_Victimas,Fecha,Franja_Hora,Tipo_Calle,Calle,Cruce,Comuna,Longitud,Latitud,Participantes,Victima,Acusado
2016-0001,1,2016-01-01,4,AVENIDA,PIEDRA BUENA AV.,True,8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO
2016-0002,1,2016-01-02,1,GRAL PAZ,"PAZ, GRAL. AV.",True,9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS
2016-0003,1,2016-01-03,7,AVENIDA,ENTRE RIOS AV.,False,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO
2016-0005,1,2016-01-21,5,AVENIDA,SAN JUAN AV.,True,1,-58.38718297,-34.6224663,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0008,1,2016-01-24,18,AVENIDA,27 DE FEBRERO AV.,True,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0009,1,2016-01-24,19,CALLE,NOGOYA,True,11,-58.50095869,-34.6082544,MOTO-AUTO,MOTO,AUTO
2016-0010,1,2016-01-29,15,GRAL PAZ,"PAZ, GRAL. AV.",True,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO
2016-0012,1,2016-02-08,1,AVENIDA,BELGRANO AV.,True,1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS
2016-0013,1,2016-02-10,11,AVENIDA,ENTRE RIOS AV.,False,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO
2016-0015,1,2016-02-14,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",True,15,-58.4376002,-34.59912758,PEATON-AUTO,PEATON,AUTO
2016-0016,1,2016-02-14,22,AVENIDA,REGIMIENTO DE PATRICIOS AV.,True,4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO
2016-0017,1,2016-02-15,16,AVENIDA,"ACOSTA, MARIANO",True,8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO
2016-0019,1,2016-02-17,9,CALLE,"DE LA TORRE, LISANDRO",True,9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0020,1,2016-02-17,16,CALLE,SUIPACHA,False,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO
2016-0021,1,2016-02-17,23,AVENIDA,DIRECTORIO AV.,True,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO
2016-0022,1,2016-02-21,6,AVENIDA,9 DE JULIO AV.,True,1,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO
2016-0025,1,2016-02-28,4,GRAL PAZ,"PAZ, GRAL. AV.",True,8,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO
2016-0026,1,2016-02-28,7,CALLE,HOLMBERG,True,12,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2016-0027,1,2016-02-28,9,AVENIDA,CURAPALIGUE AV.,True,7,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO
2016-0028,1,2016-03-02,10,AVENIDA,VIAMONTE,True,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS
2016-0029,1,2016-03-04,17,AVENIDA,CABILDO AV.,True,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0031,1,2016-03-08,12,GRAL PAZ,"PAZ, GRAL. AV.",True,8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0034,1,2016-03-12,12,AVENIDA,"ALCORTA, AMANCIO AV.",True,4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0035,1,2016-03-13,6,AVENIDA,CORRIENTES AV.,True,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0036,1,2016-03-14,0,CALLE,HERRERA,True,4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0037,1,2016-03-19,11,AVENIDA,LAFUENTE AV.,True,7,-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO
2016-0038,1,2016-03-21,8,GRAL PAZ,"PAZ, GRAL. AV.",True,8,-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0039,1,2016-03-23,1,AVENIDA,"MITRE, BARTOLOME",True,3,-58.40603217,-34.6088396,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0041,2,2016-03-29,11,AVENIDA,DIRECTORIO AV.,True,7,-58.4607655,-34.63350444,MOTO-CARGAS,MOTO,CARGAS
2016-0043,1,2016-03-30,18,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",True,8,-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS
2016-0044,1,2016-03-31,19,AVENIDA,"MORENO, JOSE MARIA AV.",True,7,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE
2016-0047,1,2016-04-15,5,CALLE,LIMA,False,1,-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0048,1,2016-04-15,17,AVENIDA,CORRIENTES AV.,True,15,-58.44759966,-34.5917024,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0050,1,2016-04-19,9,AVENIDA,"GORDILLO, TIMOTEO",True,8,-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0051,1,2016-04-20,4,AVENIDA,"ALCORTA, AMANCIO AV.",True,4,-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS
2016-0053,1,2016-04-22,9,AVENIDA,TRIUNVIRATO AV.,True,12,-58.4842918,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0054,1,2016-04-23,21,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,True,8,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO
2016-0055,1,2016-04-25,20,AVENIDA,"CASTILLA, RAMON, MARISCAL",True,14,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS
2016-0056,1,2016-04-26,4,AVENIDA,"CAMPOS, LUIS M. AV.",False,14,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0058,1,2016-05-04,14,CALLE,LIMA,False,1,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO
2016-0059,1,2016-05-08,16,CALLE,CIUDADELA,True,1,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0064,1,2016-05-14,18,AVENIDA,"JUSTO, JUAN B. AV.",True,10,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0065,1,2016-05-20,14,AVENIDA,GAONA AV.,True,6,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO
2016-0067,1,2016-05-21,17,AVENIDA,"DE LA TORRE, LISANDRO",True,8,-58.48455411,-34.6751276,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0068,1,2016-05-22,22,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",True,2,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0069,1,2016-05-23,3,AVENIDA,ENTRE RIOS AV.,True,3,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS
2016-0073,1,2016-06-11,15,CALLE,"MAGARI?OS CERVANTES, A.",False,10,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS
2016-0074,1,2016-06-12,6,GRAL PAZ,"PAZ, GRAL. AV.",True,8,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO
2016-0075,1,2016-06-12,23,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,True,8,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO
2016-0076,1,2016-06-13,16,AVENIDA,SAN MARTIN AV.,True,15,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0077,1,2016-06-13,21,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",True,1,-58.3702777,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0078,1,2016-06-13,23,AVENIDA,BELGRANO AV.,True,3,-58.40491455,-34.6146383,MOTO-MOTO,MOTO,MOTO
2016-0079,1,2016-06-16,17,AVENIDA,DEL LIBERTADOR AV.,True,13,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO
2016-0081,1,2016-06-22,7,AVENIDA,"LARRALDE, CRISOLOGO AV.",True,12,-58.4872106,-34.55904606,MOTO-AUTO,MOTO,AUTO
2016-0082,1,2016-06-27,18,AVENIDA,LA PLATA AV.,False,4,-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO
2016-0083,1,2016-06-28,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,6,-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO
2016-0084,1,2016-06-29,22,CALLE,"PELLEGRINI, CARLOS",True,1,-58.38110563,-34.60135531,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0085,1,2016-06-29,22,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",True,4,-58.42378834,-34.657341,MOTO-MOVIL,MOTO,OTRO
2016-0086,1,2016-06-30,16,AVENIDA,OLIVERA AV.,True,10,-58.48727942,-34.63652467,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0087,1,2016-07-02,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,1,-58.37864583,-34.62907067,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0088,1,2016-07-11,15,CALLE,CERETTI,True,12,-58.5015175,-34.56767549,PEATON-AUTO,PEATON,AUTO
2016-0089,1,2016-07-14,6,AUTOPISTA,"LUGONES, LEOPOLDO AV.",True,13,-58.43233425,-34.55185825,PEATON-AUTO,PEATON,AUTO
2016-0090,1,2016-07-14,22,AVENIDA,"SALGUERO, JERONIMO",True,5,-58.41971993,-34.6111224,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0092,1,2016-07-15,11,GRAL PAZ,"PAZ, GRAL. AV.",True,13,-58.46743471,-34.53476874,MOTO-CARGAS,MOTO,CARGAS
2016-0093,1,2016-07-17,3,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,6,-58.44362126,-34.62301748,AUTO-AUTO,AUTO,AUTO
2016-0095,1,2016-07-23,6,AVENIDA,MERCEDES,True,11,-58.51713095,-34.59546519,MOTO-AUTO,MOTO,AUTO
2016-0096,1,2016-07-25,7,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,False,8,-58.47433193007387,-34.66684950051973,MOTO-CARGAS,MOTO,CARGAS
2016-0097,1,2016-07-26,18,CALLE,SOLIS,True,1,-58.39038605,-34.6156281,PEATON-AUTO,PEATON,AUTO
2016-0098,1,2016-07-27,16,AVENIDA,SAN JUAN AV.,True,3,-58.40042405,-34.62356174,MOTO-CARGAS,MOTO,CARGAS
2016-0099,1,2016-07-29,16,GRAL PAZ,MOSCONI GENERAL AV.,True,11,-58.52340614,-34.59798754,CARGAS-CARGAS,CARGAS,CARGAS
2016-0100,1,2016-08-03,23,GRAL PAZ,"PAZ, GRAL. AV.",True,12,-58.49491054,-34.54795581,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0102,1,2016-08-10,23,AVENIDA,"PERON, EVA AV.",True,9,-58.50011639,-34.67316502,MOTO-CARGAS,MOTO,CARGAS
2016-0104,1,2016-08-14,21,AVENIDA,ZINNY,True,9,-58.46635001,-34.65624369,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0105,1,2016-08-17,0,AVENIDA,"LACROZE, FEDERICO AV.",True,15,-58.45343236,-34.58435809,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0106,1,2016-08-19,21,AVENIDA,"PELLEGRINI, CARLOS",True,1,-58.38090932,-34.58927731,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0107,1,2016-08-20,8,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,4,-58.37157668,-34.65429986,MOTO-AUTO,MOTO,AUTO
2016-0109,1,2016-08-24,5,AUTOPISTA,AUTOPISTA PERITO MORENO,True,9,-58.52280139,-34.63659934,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2016-0111,1,2016-08-25,9,AUTOPISTA,LUGONES,True,15,-58.47461905,-34.57663634,MOTO-CARGAS,MOTO,CARGAS
2016-0112,1,2016-08-27,4,AUTOPISTA,AUTOPISTA 25 DE MAYO,True,1,-58.38268809,-34.62282019,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0113,1,2016-08-27,16,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,9,-58.49603546,-34.64564271,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0114,1,2016-08-31,11,CALLE,"SALGUERO, JERONIMO",False,14,-58.41848605,-34.59394733,BICICLETA-CARGAS,BICICLETA,CARGAS
2016-0116,1,2016-09-02,20,AVENIDA,27 DE FEBRERO AV.,True,8,-58.44451316,-34.68475866,MOTO-AUTO,MOTO,AUTO
2016-0117,1,2016-09-03,15,AVENIDA,DEL LIBERTADOR AV.,True,14,-58.39936478,-34.58271474,AUTO-AUTO,AUTO,AUTO
2016-0118,1,2016-09-04,3,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,1,-58.37936704,-34.62694503,AUTO-AUTO,AUTO,AUTO
2016-0122,1,2016-09-13,7,AVENIDA,"PERON, EVA AV.",False,9,-58.47256391,-34.65194557,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2016-0123,1,2016-09-14,9,AVENIDA,ASAMBLEA AV.,True,7,-58.45130953,-34.64053676,MOTO-AUTO,MOTO,AUTO
2016-0124,1,2016-09-16,15,AVENIDA,RIVADAVIA AV.,True,7,-58.46271207,-34.62884871,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0125,1,2016-09-17,12,AUTOPISTA,AUTOPISTA PERITO MORENO,True,10,-58.49020869,-34.64243791,MOTO-MOTO,MOTO,MOTO
2016-0126,2,2016-09-18,22,CALLE,IRIGOYEN,True,10,-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS
2016-0127,1,2016-09-24,10,AVENIDA,"ACOSTA, MARIANO",True,8,-58.44094791,-34.66677111,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0128,1,2016-10-02,11,AVENIDA,CASTRO,True,5,-58.41914024,-34.6305389,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0130,1,2016-10-04,12,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,1,-58.37910942,-34.62764717,MOTO-CARGAS,MOTO,CARGAS
2016-0131,1,2016-10-09,19,CALLE,MIRAVE,False,4,-58.39871183,-34.64539318,PEATON-AUTO,PEATON,AUTO
2016-0132,1,2016-10-10,2,AVENIDA,SAN JUAN AV.,True,3,-58.41036975,-34.62477021,AUTO-PASAJEROS,AUTO,PASAJEROS
2016-0133,1,2016-10-14,0,AVENIDA,LAS HERAS GENERAL AV.,True,14,-58.40204698,-34.5834269,MOTO-AUTO,MOTO,AUTO
2016-0134,1,2016-10-23,5,AVENIDA,PIEDRA BUENA AV.,True,8,-58.48935287,-34.67648597,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0137,1,2016-10-25,0,AVENIDA,SAN MARTIN AV.,True,11,-58.51537091,-34.59035925,MOTO-MOTO,MOTO,MOTO
2016-0138,1,2016-10-27,20,AVENIDA,CABILDO AV.,True,13,-58.4590967,-34.55922742,BICICLETA-CARGAS,BICICLETA,CARGAS
2016-0139,1,2016-10-28,23,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",True,14,-58.42008769,-34.56539579,MOTO-MOTO,MOTO,MOTO
2016-0140,1,2016-10-31,2,AVENIDA,JURAMENTO AV.,True,13,-58.45566399,-34.56147293,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS
2016-0142,1,2016-11-05,23,AVENIDA,DEL LIBERTADOR AV.,True,1,-58.37533517,-34.59276462,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0144,1,2016-11-07,12,AVENIDA,"BROWN, ALTE. AV.",False,4,-58.35975012,-34.63343907,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0145,1,2016-11-07,20,AVENIDA,DEL LIBERTADOR AV.,True,13,-58.44523595,-34.55953855,MOTO-AUTO,MOTO,AUTO
2016-0146,1,2016-11-09,20,AVENIDA,PICHINCHA AV.,True,4,-58.39626094,-34.63036565,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0147,1,2016-11-16,21,AVENIDA,INDEPENDENCIA AV.,True,1,-58.38896772,-34.61799615,MOVIL-PASAJEROS,MOVIL,PASAJEROS
2016-0148,1,2016-11-16,22,AVENIDA,GARMENDIA AV.,False,15,-58.46536113,-34.59484504,MOTO-MOTO,MOTO,MOTO
2016-0150,1,2016-11-18,18,AVENIDA,"ALCORTA, AMANCIO AV.",True,4,-58.40879146,-34.65273216,CARGAS-CARGAS,CARGAS,CARGAS
2016-0152,1,2016-11-23,21,AVENIDA,"MORENO, PERITO AV.",True,7,-58.46451841,-34.64991946,MOTO-AUTO,MOTO,AUTO
2016-0153,1,2016-11-25,15,AVENIDA,ARAOZ,True,15,-58.4291709,-34.59485488,PEATON-MOTO,PEATON,MOTO
2016-0154,1,2016-11-26,14,GRAL PAZ,"PAZ, GRAL. AV.",False,8,-58.49007772,-34.68251141,MOTO-MOTO,MOTO,MOTO
2016-0155,1,2016-11-26,16,CALLE,MADERO,False,10,-58.52756365,-34.62772274,PEATON-AUTO,PEATON,AUTO
2016-0156,1,2016-11-26,19,AVENIDA,INDEPENDENCIA AV.,True,3,-58.40638983,-34.61943202,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0157,1,2016-12-03,6,AVENIDA,"JUSTO, JUAN B. AV.",False,11,-58.47576807,-34.61740997,MOTO-MOTO,MOTO,MOTO
2016-0160,1,2016-12-06,5,AUTOPISTA,AUTOPISTA PERITO MORENO,False,9,-58.51927194,-34.63635787,CARGAS-OBJETO FIJO,CARGAS,OBJETO FIJO
2016-0161,1,2016-12-06,7,AVENIDA,SANTA FE AV.,True,14,-58.42525456,-34.57866344,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0162,1,2016-12-07,5,AVENIDA,"LACROZE, FEDERICO AV.",True,15,-58.45396573,-34.58518167,PEATON-AUTO,PEATON,AUTO
2016-0163,1,2016-12-10,7,GRAL PAZ,"PAZ, GRAL. AV.",True,11,-58.52340614,-34.59798754,MOTO-AUTO,MOTO,AUTO
2016-0164,1,2016-12-11,6,AVENIDA,LA PLATA AV.,True,4,-58.42323628,-34.64119105,AUTO-AUTO,AUTO,AUTO
2016-0165,1,2016-12-12,8,AVENIDA,"GARCIA, MARTIN AV.",False,4,-58.36926144,-34.62841919,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2016-0168,1,2016-12-13,10,AVENIDA,LA PLATA AV.,True,4,-58.42323628,-34.64119105,MOTO-AUTO,MOTO,AUTO
2016-0169,1,2016-12-15,15,AVENIDA,NU?EZ,True,12,-58.47935434,-34.55676497,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0170,1,2016-12-19,17,GRAL PAZ,"PAZ, GRAL. AV.",False,12,-58.50598256,-34.5637998,MOTO-AUTO,MOTO,AUTO
2016-0171,1,2016-12-25,19,AUTOPISTA,"HUERGO, ING. AV.",True,1,-58.36607137,-34.62150748,MOTO-MOTO,MOTO,MOTO
2016-0172,1,2016-12-26,8,AVENIDA,"GARAY, JUAN DE AV.",True,5,-58.41918902,-34.63174259,MOTO-CARGAS,MOTO,CARGAS
2016-0173,1,2016-12-26,19,AVENIDA,DIRECTORIO AV.,True,7,-58.46749188,-34.63551751,MOTO-CARGAS,MOTO,CARGAS
2016-0175,1,2016-12-27,8,CALLE,"FALCON, RAMON L.,CNEL.",True,7,-58.46064174,-34.62960517,PEATON-BICICLETA,PEATON,BICICLETA
2016-0176,1,2016-12-28,1,AVENIDA,BELGRANO AV.,True,1,-58.36956186,-34.61232875,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0177,1,2016-12-29,4,CALLE,ARENALES,False,14,-58.40966671,-34.58788235,PEATON-AUTO,PEATON,AUTO
2016-0178,1,2016-12-30,16,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,True,3,-58.40288226,-34.61544091,MULTIPLE,PEATON,MULTIPLE
2017-0001,1,2017-01-02,1,AVENIDA,"JUSTO, JUAN B. AV.",True,11,-58.4659423,-34.61028571,MOTO-CARGAS,MOTO,CARGAS
2017-0003,1,2017-01-05,3,AVENIDA,OLAVARRIA,True,4,-58.38957669,-34.64410277,CARGAS-CARGAS,CARGAS,CARGAS
2017-0007,1,2017-01-11,17,CALLE,LIMA,True,1,-58.3816166,-34.61529543,MULTIPLE,PEATON,MULTIPLE
2017-0008,1,2017-01-16,0,CALLE,"CABRERA, JOSE A.",True,14,-58.43917004,-34.58494351,MOTO-PASAJEROS,MOTO,PASAJEROS
