Año,Edad,Total,Varones,Mujeres
2020,0,40944.2848,21102.2768,19842.008
2020,1,40866.615999999995,21044.584,19822.032
2020,2,40796.8,20996.296,19800.504
2020,3,40731.584,20954.712,19776.872
2020,4,40667.7152,20917.1312,19750.584
2020,5,40601.9408,20880.8528,19721.088
2020,6,40531.008,20843.176,19687.832
2020,7,40451.664000000004,20801.4,19650.264
2020,8,40360.656,20752.824,19607.832
2020,9,40254.7312,20694.7472,19559.984
2020,10,40151.739199999996,20636.0688,19515.6704
2020,11,40069.529599999994,20585.688,19483.8416
2020,12,39899.3376,20482.904,19416.4336
2020,13,39595.7056,20301.816,19293.8896
2020,14,39218.687999999995,20074.5232,19144.1648
2020,15,38890.2624,19868.9776,19021.2848
2020,16,38605.792,19683.5312,18922.2608
2020,17,38368.944,19510.2192,18858.7248
2020,18,38200.336,19355.8352,18844.5008
2020,19,38113.6656,19232.4368,18881.2288
2020,20,38075.614400000006,19132.7056,18942.9088
2020,21,38061.168,19043.0064,19018.1616
2020,22,38302.496,19084.9104,19217.5856
2020,23,38901.792,19313.4384,19588.3536
2020,24,39746.9296,19670.9392,20075.9904
2020,25,40583.638399999996,20025.0144,20558.624
2020,26,41414.832,20378.472,21036.36
2020,27,42324.736000000004,20776.984,21547.752
2020,28,43314.056,21222.256,22091.8
2020,29,44315.7376,21680.2736,22635.464
2020,30,45295.8848,22130.376,23165.5088
2020,31,46301.9136,22594.7664,23707.1472
2020,32,46938.3536,22886.9344,24051.4192
2020,33,47017.6256,22917.5824,24100.0432
2020,34,46721.2224,22771.3408,23949.8816
2020,35,46398.4432,22611.5008,23786.9424
2020,36,45955.7008,22392.64,23563.0608
2020,37,45621.2288,22223.512,23397.7168
2020,38,45536.1648,22170.568,23365.5968
2020,39,45573.462400000004,22171.7792,23401.6832
2020,40,45466.0064,22101.2368,23364.7696
2020,41,45268.5024,21987.208,23281.2944
2020,42,44910.606400000004,21778.712,23131.8944
2020,43,44330.8624,21438.696,22892.1664
2020,44,43572.0224,20996.1472,22575.8752
2020,45,42796.9056,20544.5024,22252.4032
2020,46,42043.2816,20097.9504,21945.3312
2020,47,41003.6656,19521.7264,21481.9392
2020,48,39564.0416,18768.7504,20795.2912
2020,49,37898.105599999995,17916.0704,19982.0352
2020,50,36269.587199999994,17076.0208,19193.5664
2020,51,34596.9616,16211.9824,18384.9792
2020,52,33294.2656,15522.4784,17771.7872
2020,53,32585.2976,15113.2864,17472.0112
2020,54,32280.888,14894.232,17386.656
2020,55,31939.176,14657.1776,17281.9984
2020,56,31613.8624,14429.128,17184.7344
2020,57,31388.110399999998,14239.44,17148.6704
2020,58,31247.7584,14077.104,17170.6544
2020,59,31154.0928,13929.1504,17224.9424
2020,60,31095.776,13799.4352,17296.3408
2020,61,31090.932800000002,13694.1664,17396.7664
2020,62,30905.044800000003,13511.5424,17393.5024
2020,63,30425.0048,13203.3744,17221.6304
2020,64,29748.241599999998,12811.4816,16936.76
2020,65,29076.3392,12422.4624,16653.8768
2020,66,28358.238400000002,12014.9056,16343.3328
2020,67,27675.8784,11622.7536,16053.1248
2020,68,27086.8064,11270.2736,15816.5328
2020,69,26537.7376,10935.6048,15602.1328
2020,70 y más,366700.0,130039.0,236661.0
