Id,N_Victimas,Fecha,Franja_Hora,Tipo_Calle,Calle,Cruce,Comuna,Longitud,Latitud,Participantes,Victima,Acusado,Dataset,semaforo_30m,semaforo_15m
2016-0053,1,2016-04-22,9,AVENIDA,TRIUNVIRATO AV.,True,12,-58.4842918,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0054,1,2016-04-23,21,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,True,8,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO,homicidio,False,False
2016-0055,1,2016-04-25,20,AVENIDA,"CASTILLA, RAMON, MARISCAL",True,14,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,homicidio,True,True
2016-0056,1,2016-04-26,4,AVENIDA,"CAMPOS, LUIS M. AV.",False,14,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,homicidio,False,False
2016-0058,1,2016-05-04,14,CALLE,LIMA,False,1,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO,homicidio,False,False
2016-0059,1,2016-05-08,16,CALLE,CIUDADELA,True,1,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,False,False
2016-0064,1,2016-05-14,18,AVENIDA,"JUSTO, JUAN B. AV.",True,10,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0065,1,2016-05-20,14,AVENIDA,GAONA AV.,True,6,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO,homicidio,True,True
2016-0067,1,2016-05-21,17,AVENIDA,"DE LA TORRE, LISANDRO",True,8,-58.48455411,-34.6751276,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,False,False
2016-0068,1,2016-05-22,22,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",True,2,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,False,False
2016-0069,1,2016-05-23,3,AVENIDA,ENTRE RIOS AV.,True,3,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS,homicidio,True,False
2016-0073,1,2016-06-11,15,CALLE,"MAGARI?OS CERVANTES, A.",False,10,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS,homicidio,False,False
2016-0074,1,2016-06-12,6,GRAL PAZ,"PAZ, GRAL. AV.",True,8,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO,homicidio,False,False
